SK_ID_CURR,FLAG_DOCUMENT_21,FLAG_PHONE,YEARS_BUILD_AVG,COMMONAREA_AVG,LIVE_CITY_NOT_WORK_CITY,REG_CITY_NOT_LIVE_CITY,LIVINGAPARTMENTS_MEDI,FLAG_DOCUMENT_10,FLAG_DOCUMENT_17,AMT_GOODS_PRICE
146850,0,0,0.6872,0.0433,0,0,0.0735,0,0,468000€
146853,0,1,,,0,0,,0,0,540000€
146854,0,0,,,0,0,,0,0,225000€
146857,0,0,,,0,0,,0,0,1003500€
146861,0,0,,,0,0,,0,0,463500€
146863,0,1,0.9048,0.0839,0,0,0.0539,0,0,688500€
146866,0,0,,,0,0,,0,0,675000€
146867,0,0,0.8708,0.0098,0,1,0.053,0,0,549000€
146876,0,0,0.4424,0.0015,0,0,0.0068,0,0,202500€
146882,0,0,,,0,0,,0,0,450000€
146885,0,1,0.9592,0.0201,0,0,0.041,0,0,225000€
146899,0,1,,,0,0,,0,0,454500€
146900,0,0,,,0,0,,0,0,463500€
146901,0,1,,,0,0,,0,0,1125000€
146902,0,0,,,0,0,,0,0,675000€
146907,0,0,,,1,0,,0,0,855000€
146908,0,0,,,0,0,,0,0,1062000€
146911,0,0,,,0,0,,0,0,675000€
146915,0,1,0.6668,0.0028,0,0,0.0765,0,0,454500€
146920,0,1,,,0,0,,0,0,67500€
146922,0,0,,,0,0,,0,0,229500€
146924,0,0,,,1,0,,0,0,225000€
146925,0,1,0.6940000000000001,0.0327,0,0,0.2189,0,0,1579500€
146929,0,0,,,0,0,,0,0,382500€
146931,0,0,0.5784,0.0,1,0,0.0077,0,0,450000€
146935,0,1,,,0,0,,0,0,675000€
146943,0,0,,,0,0,,0,0,585000€
146946,0,0,,,0,0,0.1813,0,0,360000€
146947,0,1,0.6872,0.0011,0,0,0.1779,0,0,675000€
146948,0,0,,,0,0,,0,0,1170000€
146956,0,0,0.9796,0.0,0,0,0.1847,0,0,135000€
146960,0,0,,,0,0,,0,0,387000€
146969,0,0,,,1,1,,0,0,238500€
146975,0,0,,,0,0,,0,0,225000€
146976,0,1,,,0,0,,0,0,945000€
146980,0,1,,,0,0,,0,0,675000€
146988,0,1,0.7959999999999999,0.0024,0,0,0.1539,0,0,540211€
146989,0,0,,,0,0,,0,0,225000€
146990,0,1,,,0,0,,0,0,481500€
146992,0,0,,,0,0,,0,0,675000€
146993,0,0,0.6668,0.0045,0,0,0.041,0,0,675000€
146995,0,0,,,0,0,,0,0,900000€
146996,0,0,,,0,0,,0,0,720000€
146998,0,0,,,0,0,,0,0,369000€
147000,0,0,,,0,0,,0,0,598500€
147002,0,0,,,0,0,,0,0,679500€
147003,0,1,,,0,0,,0,0,180000€
147010,0,0,0.9728,0.1852,0,0,0.0958,0,0,157500€
147011,0,0,,,0,0,,0,0,774000€
147012,0,0,,,0,0,,0,0,126000€
147015,0,1,,,0,0,,0,0,1143000€
147018,0,1,,,0,0,,0,0,675000€
147019,0,0,,,0,1,,0,0,693000€
147023,0,0,0.7348,0.0197,0,0,0.1317,0,0,225000€
147024,0,0,0.7552,0.016,0,0,0.0847,0,0,463500€
147026,0,0,0.7484,0.0,0,0,0.5524,0,0,225000€
147028,0,0,0.9592,,0,0,0.1873,0,0,225000€
147032,0,0,0.9728,0.1262,1,0,0.3369,0,0,742500€
147034,0,0,,,0,0,,0,0,1125000€
147035,0,0,,,0,0,,0,0,252000€
147043,0,0,,,0,0,,0,0,450000€
147047,0,0,,,0,0,,0,0,450000€
147051,0,1,,,0,0,,0,0,450000€
147055,0,1,,,1,0,,0,0,360000€
147057,0,0,,,0,1,,0,0,180000€
147064,0,0,,,1,0,,0,0,351000€
147067,0,1,0.9796,0.0645,0,0,0.1454,0,0,751500€
147069,0,0,,,0,0,,0,0,157500€
147070,0,0,,,0,0,,0,0,675000€
147071,0,0,0.8436,0.1127,1,0,0.1539,0,0,562500€
147076,0,0,,,0,0,,0,0,225000€
147084,0,0,,,0,0,,0,0,981000€
147087,0,0,,,1,0,,0,0,270000€
147089,0,0,,,0,0,,0,0,454500€
147092,0,0,,,0,0,,0,0,234000€
147095,0,0,0.7892,0.0308,0,0,0.0941,0,0,810000€
147096,0,0,0.83,0.043,0,0,0.0923,0,0,450000€
147100,0,0,,,0,0,,0,0,157500€
147115,0,0,,,0,0,,0,0,450000€
147121,0,0,0.9592,0.0829,0,0,0.0821,0,0,1138500€
147130,0,0,,,1,0,,0,0,225000€
147131,0,0,0.6668,,0,0,,0,0,693000€
147148,0,0,,,0,1,,0,0,211500€
147152,0,1,,,1,0,,0,0,585000€
147154,0,0,,,0,0,,0,0,247500€
147156,0,0,,,0,0,,0,0,270000€
147158,0,0,,,0,0,,0,0,945000€
147159,0,1,,,0,0,,0,0,225000€
147160,0,0,,,0,0,,0,0,909000€
147161,0,1,,,0,0,,0,0,225000€
147162,0,0,0.7484,0.0268,0,0,0.1026,0,0,162000€
147163,0,1,0.7959999999999999,,0,1,0.0188,0,0,180000€
147169,0,1,,,1,0,,0,0,675000€
147174,0,0,,,1,1,,0,0,135000€
147178,0,0,,,0,0,,0,0,157500€
147179,0,1,,,0,0,,0,0,139500€
147181,0,0,0.6940000000000001,0.0639,0,0,0.1018,0,0,139500€
147186,0,1,,,0,0,,0,0,180000€
147187,0,1,0.6328,,0,0,,0,0,225000€
147190,0,0,0.8096,0.006999999999999999,0,0,0.071,0,0,1075500€
147191,0,0,,,0,0,,0,0,247500€
147192,0,0,,,0,0,,0,0,409500€
147193,0,1,0.7212,0.0114,0,0,0.0864,0,0,1710000€
147194,0,0,0.7756,0.0207,1,0,0.0188,0,0,495000€
147200,0,0,,,0,0,,0,0,454500€
147202,0,1,,,0,0,,0,0,225000€
147203,0,1,0.8096,0.0167,0,0,0.0607,0,0,90000€
147211,0,0,0.8504,0.0031,0,0,0.0205,0,0,225000€
147212,0,0,,,0,0,,0,0,1125000€
147219,0,0,,,1,0,,0,0,495000€
147228,0,0,,,1,0,,0,0,382500€
147229,0,0,,,0,0,,0,0,270000€
147232,0,1,,,0,0,,0,0,1125000€
147233,0,1,0.7212,0.0415,1,0,0.0855,0,0,1350000€
147236,0,0,,,0,0,,0,0,481500€
147242,0,0,,,1,0,,0,0,360000€
147244,0,1,0.7416,0.0237,0,0,0.0513,0,0,454500€
147252,0,1,,,0,0,,0,0,234000€
147256,0,0,,,0,0,,0,0,270000€
147258,0,0,,,1,0,,0,0,990000€
147260,0,1,,,0,0,,0,0,675000€
147261,0,1,0.7959999999999999,0.0416,0,0,0.1368,0,0,706500€
147266,0,0,0.8164,0.0306,0,0,0.0573,0,0,598500€
147269,0,0,,,0,0,,0,0,580500€
147271,0,0,,,0,0,,0,0,675000€
147274,0,0,,,0,0,,0,0,225000€
147276,0,0,0.7348,0.0482,0,0,0.1043,0,0,472500€
147278,0,1,0.9116,0.0673,0,0,0.0842,0,0,1125000€
147282,0,0,0.7144,0.0251,0,0,0.0547,0,0,675000€
147284,0,0,,,0,0,,0,0,900000€
147288,0,1,,,0,0,,0,0,1206000€
147292,0,0,,,0,0,,0,0,450000€
147295,0,0,0.6940000000000001,0.0015,1,0,0.0137,0,0,477000€
147299,0,0,0.8436,0.0356,0,0,0.1231,0,0,157500€
147311,0,1,0.932,,0,1,0.0428,0,0,112500€
147320,0,0,0.626,0.0063,0,0,0.0436,0,0,720000€
147321,0,0,,,1,0,,0,0,913500€
147323,0,0,0.8572,0.0375,0,0,0.224,0,0,450000€
147327,0,0,,,1,0,,0,0,900000€
147328,0,1,,,1,0,,0,0,472500€
147330,0,1,,,0,0,,0,0,675000€
147332,0,0,0.9796,0.0842,0,0,0.2009,0,0,450000€
147333,0,0,0.7892,0.0398,0,0,,0,0,2250000€
147334,0,0,,,0,0,,0,0,234000€
147336,0,1,0.7212,,0,0,,0,0,679500€
147338,0,0,,,1,0,,0,0,216000€
147339,0,1,0.6532,0.0099,0,0,0.0684,0,0,211500€
147341,0,0,,,0,0,,0,0,225000€
147347,0,1,0.6736,0.0114,0,0,0.1026,0,0,945000€
147348,0,0,,0.016,0,0,,0,0,252000€
147349,0,0,0.8164,0.036000000000000004,0,0,0.0889,0,0,855000€
147350,0,0,0.6940000000000001,0.0638,0,0,0.077,0,0,850500€
147352,0,1,0.9184,0.0053,0,0,0.0214,0,0,1332000€
147357,0,0,,,1,0,,0,0,900000€
147358,0,0,,,0,1,,0,0,270000€
147359,0,0,0.8164,0.0177,0,0,0.0744,0,0,157500€
147365,0,1,,,0,0,,0,0,243000€
147367,0,0,,,0,0,,0,0,247500€
147368,0,0,,,0,0,,0,0,774000€
147370,0,0,,,0,0,,0,0,1057500€
147374,0,0,0.932,0.0,0,0,0.1018,0,0,675000€
147376,0,0,,,0,0,,0,0,171000€
147378,0,0,,,0,0,,0,0,225000€
147379,0,0,,,0,0,,0,0,477000€
147381,0,0,0.7892,0.108,0,0,0.5148,0,0,454500€
147384,0,0,,,0,0,,0,0,945000€
147387,0,0,,,0,0,,0,0,450000€
147393,0,1,,,0,0,,0,0,67500€
147395,0,0,,,0,0,,0,0,630000€
147399,0,1,,,0,0,,0,0,90000€
147405,0,0,,,0,0,,0,0,189000€
147412,0,0,,,0,0,,0,0,454500€
147414,0,0,,,1,0,,0,0,180000€
147417,0,0,,,0,0,,0,0,900000€
147419,0,0,0.7484,0.0573,0,0,0.0381,0,0,1350000€
147421,0,0,0.7144,0.0,0,0,0.0915,0,0,1377000€
147423,0,0,,,1,0,,0,0,450000€
147424,0,1,,,0,0,,0,0,67500€
147430,0,0,0.7688,0.0271,1,0,0.1009,0,0,922500€
147436,0,1,0.8436,0.0256,0,0,0.0761,0,0,900000€
147437,0,0,,,0,0,,0,0,225000€
147442,0,0,0.7076,0.0113,0,0,0.0872,0,0,1125000€
147445,0,0,0.7144,0.0125,0,0,0.077,0,0,450000€
147448,0,1,,,0,0,,0,0,225000€
147450,0,0,0.7688,0.038,0,0,0.0513,0,0,427500€
147473,0,0,0.9388,0.0393,0,0,0.1368,0,0,288000€
147477,0,0,,,0,0,,0,0,450000€
