SK_ID_CURR,FLAG_DOCUMENT_21,FLAG_PHONE,YEARS_BUILD_AVG,COMMONAREA_AVG,LIVE_CITY_NOT_WORK_CITY,REG_CITY_NOT_LIVE_CITY,LIVINGAPARTMENTS_MEDI,FLAG_DOCUMENT_10,FLAG_DOCUMENT_17,AMT_GOODS_PRICE
310530,0,1,0.9184,0.0207,0,0,0.0641,0,0,1350000€
310538,0,0,,,1,0,,0,0,454500€
310548,0,0,0.6056,0.0,0,0,0.0068,0,0,823500€
310557,0,0,,,1,1,,0,0,900000€
310558,0,1,,,0,0,,0,0,679500€
310561,0,1,,,0,0,,0,0,247500€
310565,0,1,,,0,0,,0,0,450000€
310572,0,0,,,0,0,,0,0,450000€
310582,0,0,,,0,0,,0,0,180000€
310590,0,1,0.7688,0.1192,0,0,0.2052,0,0,1350000€
310595,0,0,,,0,0,,0,0,900000€
310597,0,0,0.83,0.1285,0,0,0.0744,0,0,675000€
310601,0,1,,,0,0,,0,0,675000€
310602,0,1,,,0,0,,0,0,270000€
310603,0,0,,,0,1,,0,0,135000€
310604,0,0,,,0,0,,0,0,85500€
310608,0,0,0.252,0.0044,0,0,0.0034,0,0,540000€
310611,0,0,0.5920000000000001,,0,0,,0,0,657000€
310619,0,0,0.6872,0.0131,0,0,0.1026,0,0,450000€
310623,0,0,,,0,0,,0,0,675000€
310626,0,0,0.6532,0.0021,0,1,0.0154,0,0,481500€
310629,0,1,,,0,0,,0,0,657000€
310630,0,1,,,0,0,,0,0,1345500€
310632,0,0,,,1,0,,0,0,450000€
310643,0,0,,,0,0,,0,0,373500€
310644,0,0,,,0,0,,0,0,1125000€
310645,0,0,0.966,0.022,0,0,0.0821,0,0,454500€
310649,0,0,0.6804,0.0124,0,0,0.0821,0,0,675000€
310651,0,0,0.83,,1,1,,0,0,450000€
310652,0,1,,,1,0,,0,0,225000€
310653,0,0,,,1,0,,0,0,202500€
310656,0,0,0.7144,0.0212,0,0,0.0573,0,0,540000€
310666,0,0,0.7688,0.0116,0,0,0.065,0,0,495000€
310668,0,0,,,1,1,,0,0,180000€
310673,0,0,0.5716,0.0028,0,0,0.0103,0,0,148500€
310707,0,0,0.8096,0.001,0,0,0.0068,0,0,328500€
310708,0,0,0.728,0.0175,0,0,0.0445,0,0,58500€
310712,0,0,0.6668,0.0086,0,0,0.0684,0,0,1003500€
310715,0,1,,,0,0,,0,0,315000€
310716,0,0,0.7416,0.0041,0,0,0.0308,0,0,648000€
310719,0,0,,,0,0,,0,0,225000€
310723,0,1,,,1,0,,0,0,67500€
310724,0,0,,,1,0,,0,0,243000€
310725,0,0,,0.1081,0,0,0.0616,0,0,1260000€
310737,0,0,,,0,1,,0,0,292500€
310744,0,1,0.9524,0.0383,0,0,0.0966,0,0,945000€
310746,0,0,0.898,0.0131,1,1,,0,0,225000€
310749,0,1,,,0,0,,0,0,481500€
310759,0,0,0.8912,0.2385,0,0,0.1231,0,0,225000€
310761,0,0,,,1,0,,0,0,157500€
310765,0,0,,,1,1,,0,0,576000€
310768,0,0,0.728,0.0,1,0,0.077,0,0,675000€
310770,0,0,0.6736,0.0447,0,0,0.0513,0,0,1350000€
310774,0,0,0.8640000000000001,0.0099,0,0,0.0513,0,0,1503000€
310778,0,0,0.7008,0.0298,0,0,0.0599,0,0,454500€
310782,0,1,0.8096,0.0277,0,0,0.1112,0,0,225000€
310789,0,0,0.6192,0.0053,1,0,0.0385,0,0,450000€
310795,0,0,,,0,1,,0,0,1125000€
310796,0,0,,,0,0,,0,0,900000€
310797,0,0,0.762,0.0,0,0,0.0599,0,0,225000€
310798,0,0,,,0,0,,0,0,1125000€
310799,0,1,,,0,0,,0,0,450000€
310804,0,0,0.7348,0.0014,0,0,0.0872,0,0,450000€
310805,0,0,,,0,0,,0,0,675000€
310808,0,0,,,0,0,,0,0,900000€
310813,0,0,,,1,0,,0,0,450000€
310814,0,0,,,1,0,,0,0,679500€
310821,0,0,,,0,0,,0,0,1521000€
310822,0,1,0.6464,0.0078,0,0,0.0547,0,0,1125000€
310826,0,0,,,1,0,,0,0,769500€
310830,0,0,0.8096,0.0622,0,0,0.1231,0,0,225000€
310834,0,1,,,0,0,,0,0,211500€
310835,0,0,,,0,0,,0,0,225000€
310838,0,0,,,0,0,,0,0,900000€
310841,0,0,0.9864,0.14300000000000002,0,0,0.2283,0,0,846000€
310848,0,0,0.6464,0.0247,0,0,0.0684,0,0,1660500€
310852,0,0,0.898,0.0634,1,0,0.0941,0,0,1080000€
310855,0,0,0.6668,0.0299,0,0,0.0684,0,0,1291500€
310857,0,0,0.7892,0.1437,0,0,0.2155,0,0,1746000€
